food_name,category,is_packaged,barcode,variant_label,serving_size,notes,calories,protein,carbs,fat,fiber,sugar,sodium
Roti,Bread,false,,Butter Roti,1 piece (40g),Whole wheat roti spread with butter,148,3.5,24.0,4.5,1.5,0.3,120
Paratha,Bread,false,,Plain Paratha,1 piece (80g),Layered whole wheat flatbread,220,5.0,28.0,9.0,2.0,0.5,220
Paratha,Bread,false,,Aloo Paratha,1 piece (100g),Stuffed with spiced potato filling,260,6.0,36.0,9.0,3.0,1.0,280
Paratha,Bread,false,,Methi Paratha,1 piece (80g),Stuffed with fenugreek leaves,210,5.0,27.0,8.5,2.5,0.5,220
Paratha,Bread,false,,Paneer Paratha,1 piece (100g),Stuffed with spiced cottage cheese,268,9.0,30.0,12.0,2.0,1.0,300
Naan,Bread,false,,Plain Naan,1 piece (90g),Leavened white flour bread baked in tandoor,279,9.4,50.1,5.9,2.0,3.0,496
Naan,Bread,false,,Butter Naan,1 piece (90g),Naan topped with butter,310,9.4,50.0,9.0,2.0,3.0,510
Naan,Bread,false,,Garlic Naan,1 piece (90g),Naan topped with garlic and butter,295,9.0,50.0,7.0,2.0,3.0,520
Puri,Bread,false,,Plain Puri,1 piece (40g),Deep-fried puffed wheat bread,318,7.0,43.0,13.0,2.0,0.5,250
Bhatura,Bread,false,,Plain Bhatura,1 piece (100g),Deep-fried leavened fermented dough,350,8.0,55.0,11.0,2.0,1.0,320
Idli,South Indian,false,,Plain Idli,2 pieces (100g),Steamed rice and lentil cakes,60,2.1,12.0,0.4,0.5,0.3,210
Idli,South Indian,false,,Rava Idli,2 pieces (100g),Semolina steamed cakes,130,4.0,22.0,3.0,1.0,0.5,380
Dosa,South Indian,false,,Plain Dosa,1 piece (100g),Crispy fermented rice and lentil crepe,120,2.7,22.0,2.0,0.7,0.3,260
Dosa,South Indian,false,,Masala Dosa,1 piece (150g),Dosa stuffed with spiced potato filling,170,4.0,28.0,5.0,2.0,1.0,350
Dosa,South Indian,false,,Rava Dosa,1 piece (100g),Crispy semolina crepe,150,3.5,24.0,4.0,0.5,0.3,280
Uttapam,South Indian,false,,Plain Uttapam,1 piece (100g),Thick pancake from fermented batter,130,4.0,24.0,2.5,1.0,0.5,300
Uttapam,South Indian,false,,Onion Tomato Uttapam,1 piece (120g),Topped with onion and tomato,145,4.0,25.0,3.5,1.5,1.0,310
Upma,South Indian,false,,Plain Upma,100g,Semolina porridge with mustard tempering,145,3.5,26.0,3.0,1.5,1.0,350
Upma,South Indian,false,,Vegetable Upma,100g,Semolina porridge with mixed vegetables,155,4.0,27.0,3.5,2.0,2.0,370
Poha,Breakfast,false,,Kanda Poha,100g,Flattened rice with onion and spices,166,3.5,30.0,4.0,1.0,1.0,300
Poha,Breakfast,false,,Batata Poha,100g,Flattened rice with potato and peanuts,175,3.0,32.0,4.0,1.5,1.5,310
Khichdi,Rice,false,,Moong Dal Khichdi,100g,Rice and lentil porridge,130,5.5,23.0,1.5,3.0,0.5,350
Khichdi,Rice,false,,Sabudana Khichdi,100g,Sago pearls cooked with peanuts and potato,190,2.5,38.0,4.0,0.5,0.0,250
Biryani,Rice,false,,Veg Biryani,100g,Layered basmati rice with vegetables and spices,180,4.0,33.0,4.0,2.0,1.0,420
Biryani,Rice,false,,Chicken Biryani,100g,Layered basmati rice with spiced chicken,200,14.0,22.0,6.0,0.5,1.0,480
Biryani,Rice,false,,Mutton Biryani,100g,Layered basmati rice with spiced mutton,215,14.0,22.0,8.0,0.5,1.0,500
Pulao,Rice,false,,Matar Pulao,100g,Basmati rice cooked with green peas,168,4.0,30.0,3.5,2.0,1.0,350
Pulao,Rice,false,,Veg Pulao,100g,Basmati rice with mixed vegetables,160,3.5,28.0,3.5,2.0,1.0,330
Aloo Gobi,Vegetables,false,,Dry Aloo Gobi,100g,Stir-fried potato and cauliflower,120,3.0,18.0,4.0,3.5,3.0,350
Aloo Gobi,Vegetables,false,,Aloo Gobi Masala,100g,Potato and cauliflower in thick tomato gravy,145,3.5,20.0,5.5,3.5,3.0,400
Aloo Sabzi,Vegetables,false,,Dry Aloo Sabzi,100g,Simple stir-fried potato with spices,145,2.5,22.0,5.0,2.0,1.5,350
Aloo Sabzi,Vegetables,false,,Aloo Jeera,100g,Potato tempered with cumin seeds,135,2.5,20.0,4.5,2.0,1.0,320
Aloo Sabzi,Vegetables,false,,Dum Aloo,100g,Baby potatoes in rich spiced gravy,180,3.0,24.0,8.0,2.5,3.0,420
Paneer,Dairy,false,,Homemade Paneer,100g,Fresh cottage cheese made from full fat milk,265,18.0,3.0,20.0,0.0,2.5,30
Paneer,Dairy,false,,Store-bought Paneer,100g,Commercial cottage cheese from toned milk,235,15.0,4.0,17.0,0.0,3.0,30
Palak Paneer,Vegetables,false,,Palak Paneer,100g,Cottage cheese in spinach gravy,160,8.5,8.0,10.5,1.5,2.0,380
Paneer Butter Masala,Vegetables,false,,Paneer Butter Masala,100g,Cottage cheese in rich tomato cashew gravy,230,10.0,12.0,17.0,1.5,5.0,450
Paneer Tikka,Snacks,false,,Paneer Tikka,100g,Marinated and grilled cottage cheese,190,11.0,8.0,13.0,1.0,3.0,430
Shahi Paneer,Vegetables,false,,Shahi Paneer,100g,Cottage cheese in royal cream and nut gravy,248,10.0,14.0,18.0,1.0,5.0,450
Baingan Bharta,Vegetables,false,,Baingan Bharta,100g,Smoky roasted eggplant mash,85,2.5,10.0,4.0,3.0,4.0,350
Bhindi Masala,Vegetables,false,,Bhindi Masala,100g,Stir-fried okra with onion and spices,110,2.5,12.0,6.0,4.5,3.0,320
Bhindi Masala,Vegetables,false,,Stuffed Bhindi,100g,Okra stuffed with spiced chickpea flour mixture,145,3.0,14.0,8.5,4.0,3.0,380
Rajma,Lentils,false,,Rajma Curry,100g,Red kidney beans in thick tomato onion gravy,142,8.3,22.7,2.7,7.0,2.0,420
Chana Masala,Lentils,false,,Chole / Chana Masala,100g,Spiced chickpea curry,164,8.9,27.4,2.6,7.6,3.0,430
Samosa,Snacks,false,,Veg Samosa,1 piece (100g),Fried pastry stuffed with spiced potato and peas,240,5.0,32.0,11.0,2.0,1.0,350
Samosa,Snacks,false,,Mini Samosa,1 piece (50g),Small fried pastry with potato filling,230,4.5,30.0,10.5,2.0,1.0,320
Pakora,Snacks,false,,Onion Pakora,100g,Batter-fried onion fritters,253,6.0,30.0,12.0,3.0,2.0,380
Pakora,Snacks,false,,Paneer Pakora,100g,Batter-fried cottage cheese fritters,298,11.0,28.0,16.0,2.0,1.5,420
Pakora,Snacks,false,,Aloo Pakora,100g,Batter-fried potato slices,250,5.0,34.0,11.0,2.5,1.0,380
Vada,South Indian,false,,Medu Vada,1 piece (60g),Deep-fried urad dal doughnut,175,7.0,20.0,8.0,2.0,1.0,380
Vada,South Indian,false,,Aloo Vada,1 piece (80g),Deep-fried potato dumpling,220,4.0,30.0,9.5,2.0,1.0,350
Dhokla,Snacks,false,,Besan Dhokla,100g,Steamed fermented chickpea flour cake,120,6.0,17.0,3.5,1.5,4.0,450
Pav Bhaji,Street Food,false,,Pav Bhaji,100g,Spiced mashed vegetable curry,180,5.0,28.0,6.0,4.0,5.0,480
Pani Puri,Street Food,false,,Pani Puri,6 pieces (100g),Crispy hollow shells with spiced tamarind water,180,4.0,30.0,6.0,3.0,3.0,380
Bhel Puri,Street Food,false,,Bhel Puri,100g,Puffed rice snack with chutneys and vegetables,175,4.0,30.0,5.0,2.5,5.0,400
Chicken Curry,Poultry,false,,Chicken Curry,100g,Bone-in chicken in spiced onion tomato gravy,185,25.0,4.0,8.0,0.5,1.0,480
Chicken Curry,Poultry,false,,Butter Chicken,100g,Boneless chicken in creamy tomato gravy,215,24.0,6.0,11.0,0.5,3.0,520
Chicken Curry,Poultry,false,,Chicken Tikka Masala,100g,Grilled chicken in spiced tomato cream sauce,205,24.0,7.0,10.0,1.0,3.0,530
Mutton Curry,Meat,false,,Mutton Rogan Josh,100g,Slow-cooked lamb in Kashmiri spiced gravy,225,20.0,5.0,14.0,0.5,1.5,520
Mutton Curry,Meat,false,,Mutton Keema,100g,Minced mutton cooked with peas and spices,215,20.0,6.0,13.0,1.0,2.0,520
Fish Curry,Seafood,false,,Goan Fish Curry,100g,Fish in coconut and tamarind based curry,165,18.0,5.0,8.0,0.5,2.0,480
Fish Curry,Seafood,false,,Fish Fry,100g,Spice-marinated fish deep fried,185,20.0,8.0,9.0,0.5,0.5,520
Egg Curry,Eggs,false,,Egg Curry,100g,Boiled eggs in spicy onion tomato gravy,145,10.5,5.0,10.0,0.5,2.0,420
Egg Curry,Eggs,false,,Egg Bhurji,100g,Scrambled eggs cooked with onion and spices,160,11.0,4.0,11.0,0.5,1.5,380
Gulab Jamun,Sweets,false,,Gulab Jamun,2 pieces (100g),Deep-fried milk solids soaked in sugar syrup,380,5.0,64.0,12.0,0.5,52.0,150
Gulab Jamun,Sweets,false,,Sugar-free Gulab Jamun,2 pieces (100g),Gulab jamun made with sugar substitute,280,5.0,45.0,10.0,0.5,5.0,150
Halwa,Sweets,false,,Sooji Halwa,100g,Semolina pudding cooked in ghee and sugar,320,5.0,55.0,9.0,1.0,35.0,120
Halwa,Sweets,false,,Gajar Halwa,100g,Slow-cooked carrot pudding in milk and ghee,240,5.0,38.0,8.0,2.0,28.0,120
Halwa,Sweets,false,,Besan Halwa,100g,Chickpea flour pudding in ghee and sugar,330,7.0,50.0,12.0,2.0,35.0,100
Kheer,Sweets,false,,Rice Kheer,100g,Rice pudding cooked in sweetened milk,150,4.0,28.0,3.5,0.2,22.0,100
Kheer,Sweets,false,,Vermicelli Kheer,100g,Semiya payasam cooked in sweetened milk,170,4.5,32.0,3.5,0.5,24.0,100
Ladoo,Sweets,false,,Besan Ladoo,1 piece (50g),Round sweet made from roasted chickpea flour and ghee,420,10.0,55.0,18.0,4.0,38.0,80
Ladoo,Sweets,false,,Motichoor Ladoo,1 piece (50g),Fine gram flour pearl balls bound in sugar syrup,385,7.0,63.0,13.0,2.0,50.0,80
Jalebi,Sweets,false,,Plain Jalebi,100g,Crispy fermented wheat flour spirals in sugar syrup,400,4.0,72.0,11.0,0.5,60.0,50
Chai,Beverages,false,,Masala Chai,100ml,Spiced milk tea with ginger and cardamom,30,1.0,4.0,1.0,0.0,3.0,10
Chai,Beverages,false,,Ginger Chai,100ml,Strong tea brewed with fresh ginger and milk,28,1.0,4.0,0.8,0.0,3.0,10
Lassi,Beverages,false,,Sweet Lassi,100ml,Sweetened churned yogurt drink,90,3.5,12.0,3.0,0.0,12.0,80
Lassi,Beverages,false,,Salty Lassi,100ml,Churned yogurt with salt and roasted cumin,60,3.5,6.0,3.0,0.0,5.0,300
Lassi,Beverages,false,,Mango Lassi,100ml,Yogurt blended with Alphonso mango puree,115,3.0,18.0,3.0,0.5,16.0,80
Curd,Dairy,false,,Full Fat Curd,100g,Set yogurt from full fat buffalo milk,100,3.5,4.7,6.0,0.0,4.7,46
Curd,Dairy,false,,Low Fat Curd,100g,Set yogurt from toned cow milk,62,3.5,4.7,2.2,0.0,4.7,46
Raita,Dairy,false,,Boondi Raita,100g,Yogurt with crispy chickpea flour pearls,75,3.0,8.0,3.0,0.5,5.0,180
Raita,Dairy,false,,Cucumber Raita,100g,Yogurt with grated cucumber and cumin,60,3.0,6.0,2.5,0.3,4.0,160
Raita,Dairy,false,,Onion Tomato Raita,100g,Yogurt with diced onion and tomato,65,3.0,7.0,2.5,0.5,5.0,170
Paneer Bhurji,Eggs,false,,Paneer Bhurji,100g,Scrambled cottage cheese cooked with onion tomato and spices,175,11.0,6.0,12.0,1.0,3.0,380
